LICEO REPUBLICA ARGENTINA,Región de Valparaóso,Los Andes,-3.0,0.0,baja
LICEO POLITECNICO AMERICA,Región de Valparaóso,Los Andes,34.0,1.0,sube
LICEO PARTICULAR MIXTO LOS ANDES,Región de Valparaóso,Los Andes,-1.0,0.0,baja
COLEGIO MARIA AUXILIADORA,Región de Valparaóso,Los Andes,0.0,0.0,mantiene
INSTITUTO CHACABUCO,Región de Valparaóso,Los Andes,-7.0,0.0,baja
COLEGIO MARIA MONTESSORI,Región de Valparaóso,Los Andes,-29.0,-1.0,baja
INSTITUTO AGRICOLA PASCUAL BABURIZZA,Región de Valparaóso,Calle Lar,8.0,0.0,sube
LICEO PARROQUIAL TERESITA DE LOS ANDES,Región de Valparaóso,Rinconada,-7.0,0.0,baja
LICEO DOCTOR ROBERTO HUMERES O.,Región de Valparaóso,San Felip,-8.0,0.0,baja
ESCUELA INDUSTRIAL GUILLERMO RICHARDS CUE,Región de Valparaóso,San Felip,-12.0,-1.0,baja
LICEO DE NINAS CORINA URBINA,Región de Valparaóso,San Felip,-2.0,0.0,baja
LICEO SAN FELIPE,Región de Valparaóso,San Felip,-16.0,0.0,baja
INSTITUTO ABDON CIFUENTES,Región de Valparaóso,San Felip,-12.0,0.0,baja
COLEGIO ASSUNTA PALLOTA,Región de Valparaóso,San Felip,17.0,1.0,sube
COLEGIO SANTA JUANA DE ARCO,Región de Valparaóso,San Felip,1.0,0.0,sube
COLEGIO JOSE AGUSTIN GOMEZ,Región de Valparaóso,San Felip,-20.0,-1.0,baja
COLEGIO PARTICULAR PUMANQUE,Región de Valparaóso,San Felip,6.0,0.0,sube
ESCUELA AGRICOLA DE SAN FELIPE,Región de Valparaóso,San Felip,3.0,0.0,sube
LICEO MANUEL MARIN,Región de Valparaóso,Putaendo,-21.0,-1.0,baja
LICEO RINCONADA DE SILVA,Región de Valparaóso,Putaendo,46.0,1.0,sube
LICEO DARIO SALAS,Región de Valparaóso,Santa Mar,4.0,0.0,sube
COLEGIO SANTA MARIA DE ACONCAGUA,Región de Valparaóso,Santa Mar,12.0,0.0,sube
LICEO POLITECNICO LLAY LLAY,Región de Valparaóso,Llaillay,-5.0,0.0,baja
LICEO MENESIANO SAGRADO CORAZON,Región de Valparaóso,Llaillay,12.0,0.0,sube
LICEO POLIVALENTE FERNANDO SILVA CASTELLó,Región de Valparaóso,Catemu,-4.0,0.0,baja
COLEGIO PARTICULAR CALIFORNIA,Región de Valparaóso,Catemu,-14.0,0.0,baja
ESCUELA AGRICOLA SALESIANA F. HUIDOBRO,Región de Valparaóso,Catemu,19.0,1.0,sube
LICEO SANTIAGO ESCUTI ORREGO,Región de Valparaóso,Quillota,17.0,1.0,sube
COLEGIO VALLE DE QUILLOTA,Región de Valparaóso,Quillota,1.0,0.0,sube
LICEO COMERCIAL DE QUILLOTA,Región de Valparaóso,Quillota,3.0,0.0,sube
COLEGIO REPóBLICA DE MóXICO,Región de Valparaóso,Quillota,11.0,0.0,sube
COLEGIO ARAUCO,Región de Valparaóso,Quillota,-15.0,0.0,baja
LICEO COMERCIAL PARTICULAR,Región de Valparaóso,Quillota,20.0,0.0,sube
COLEGIO FRANCISCO DE MIRANDA,Región de Valparaóso,Quillota,-31.0,-1.0,baja
COLEGIO NIóO JESUS DE PRAGA,Región de Valparaóso,Quillota,-11.0,0.0,baja
COLEGIO SAN PEDRO NOLASCO DE QUILLOTA,Región de Valparaóso,Quillota,-24.0,-1.0,baja
ESCUELA PARTICULAR INDUSTRIAL E. BERTELSE,Región de Valparaóso,Quillota,-36.0,-1.0,baja
COL.NTRA.SEóORA DEL HUERTO,Región de Valparaóso,Quillota,-41.0,-1.0,baja
INSTITUTO RAFAEL ARIZTIA,Región de Valparaóso,Quillota,8.0,0.0,sube
COLEGIO INGLES DE QUILLOTA,Región de Valparaóso,Quillota,-1.0,0.0,baja
COLEGIO ROBERT AND ROSE,Región de Valparaóso,Quillota,-8.0,0.0,baja
COLEGIO LEONARDO DA VINCI,Región de Valparaóso,La Cruz,10.0,0.0,sube
LICEO SAN ISIDRO,Región de Valparaóso,La Cruz,22.0,1.0,sube
LICEO PEDRO DE VALDIVIA,Región de Valparaóso,La Calera,7.0,0.0,sube
COMPLEJO EDUCACIONAL LAS ACACIAS DE ARTIF,Región de Valparaóso,La Calera,-12.0,0.0,baja
LICEO PARTICULAR SAN JOSE,Región de Valparaóso,La Calera,-17.0,-1.0,baja
COLEGIO TERESA BROWN DE ARIZTIA,Región de Valparaóso,La Calera,-30.0,-1.0,baja
LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,Región de Valparaóso,La Calera,-18.0,-1.0,baja
